Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
African Am.,10,1.1%,2.70,20.0%,0.0%,227,12.5,9.8
Asian,441,47.3%,3.10,38.1%,19.0%,233,13.7,9.6
Mexican Am.,28,3.0%,3.03,25.0%,14.3%,233,14.4,10.3
Filipino,43,4.6%,2.88,32.6%,4.7%,228,14.6,9.3
Latino,13,1.4%,3.12,46.2%,7.7%,229,13.0,7.8
Native Am.,4,0.4%,3.62,25.0%,75.0%,242,13.3,7.0
Caucasian,261,28.0%,3.18,40.2%,23.8%,229,13.7,10.1
Other,133,14.3%,3.10,37.6%,21.1%,233,13.8,9.2
College
Revelle,159,17.0%,3.09,39.0%,18.9%,238,14.0,9.1
Muir,148,15.9%,3.12,37.8%,20.3%,230,13.5,9.4
Marshall,123,13.2%,3.03,40.7%,9.8%,232,14.2,10.2
Warren,408,43.7%,3.15,37.7%,23.3%,227,13.5,9.7
Roosevelt,73,7.8%,2.95,31.5%,12.3%,245,14.7,9.8
Sixth,22,2.4%,3.26,36.4%,36.4%,232,12.3,--
School Type
High School,635,68.1%,3.15,40.5%,21.4%,231,13.7,--
2yr College,290,31.1%,3.01,32.1%,16.2%,232,--,9.6
4yr College/Univ.,8,0.9%,3.02,37.5%,12.5%,234,--,--
Unknown,0,0.0%,--,--,--,--,--,--
Total Engineering,933,100.0%,3.11,37.8%,19.7%,232,13.7,9.6

Science/Math
Gender
Female,714,58.7%,3.16,38.1%,25.8%,217,12.9,8.1
Male,502,41.3%,3.17,38.8%,26.1%,213,13.0,8.3
Ethnicity
African Am.,12,1.0%,2.82,16.7%,16.7%,210,12.8,7.0
Asian,464,38.2%,3.13,40.3%,22.0%,219,12.8,8.6
Mexican Am.,68,5.6%,2.93,25.0%,14.7%,211,13.4,8.2
Filipino,78,6.4%,2.96,33.3%,11.5%,210,12.9,7.4
Latino,24,2.0%,3.16,37.5%,20.8%,218,13.3,8.2
Native Am.,7,0.6%,3.24,42.9%,28.6%,212,15.2,8.5
Caucasian,406,33.4%,3.27,41.6%,32.5%,214,13.0,8.3
Other,157,12.9%,3.24,34.4%,33.8%,212,12.5,7.6
College
Revelle,351,28.9%,3.15,37.6%,25.4%,219,13.0,8.9
Muir,223,18.3%,3.24,31.8%,36.3%,214,12.7,7.5
Marshall,195,16.0%,3.10,40.0%,17.9%,209,13.1,8.4
Warren,325,26.7%,3.17,37.5%,26.5%,216,13.0,7.9
Roosevelt,93,7.6%,3.12,49.5%,18.3%,218,13.1,8.4
Sixth,29,2.4%,3.33,62.1%,24.1%,210,11.8,5.7
School Type
High School,933,76.7%,3.22,40.2%,28.7%,217,12.9,--
2yr College,270,22.2%,3.00,32.2%,16.7%,209,--,8.2
4yr College/Univ.,13,1.1%,3.06,38.5%,15.4%,220,--,--
Unknown,0,0.0%,--,--,--,--,--,--
Total Science/Math,1216,100.0%,3.17,38.4%,25.9%,215,12.9,8.2

Social Science
Gender
Female,1514,60.9%,3.19,43.7%,24.3%,199,12.5,7.2
Male,972,39.1%,3.08,40.1%,19.0%,200,12.8,7.5
Ethnicity
African Am.,31,1.2%,3.04,35.5%,12.9%,204,12.7,9.5
Asian,748,30.1%,3.05,41.2%,14.3%,201,12.7,6.8
Mexican Am.,196,7.9%,3.03,39.3%,13.8%,196,13.1,7.5
Filipino,125,5.0%,2.99,35.2%,15.2%,199,13.2,7.8
Latino,67,2.7%,3.10,29.9%,23.9%,200,13.3,8.2
Native Am.,9,0.4%,3.17,33.3%,22.2%,202,12.3,5.5
Caucasian,960,38.6%,3.26,46.4%,29.9%,199,12.3,7.4
Other,350,14.1%,3.17,41.1%,26.0%,200,12.7,7.4
College
Revelle,275,11.1%,3.03,36.0%,16.0%,209,13.1,8.6
Muir,522,21.0%,3.21,44.1%,28.0%,197,12.4,7.3
Marshall,593,23.9%,3.11,42.0%,18.7%,197,12.8,7.2
Warren,522,21.0%,3.12,41.2%,20.9%,198,12.6,7.1
Roosevelt,502,20.2%,3.19,46.4%,23.3%,204,12.5,8.2
Sixth,72,2.9%,3.28,36.1%,36.1%,196,11.6,6.0
School Type
High School,1726,69.4%,3.19,44.4%,24.7%,202,12.6,--
2yr College,710,28.6%,3.04,36.3%,16.6%,195,--,7.3
4yr College/Univ.,44,1.8%,3.22,61.4%,18.2%,200,--,--
Unknown,6,0.2%,2.78,16.7%,16.7%,236,--,--
Total Social Sci.,2486,100.0%,3.15,42.3%,22.2%,200,12.6,7.3
