Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
Marshall,69,16.9%,3.20,39.1%,29.0%,220,12.7,9.3
Warren,59,14.4%,3.07,33.9%,20.3%,223,13.8,7.6
Roosevelt,45,11.0%,3.08,46.7%,15.6%,225,13.8,8.0
Sixth,53,13.0%,3.06,41.5%,17.0%,229,13.6,8.3
School Type
High School,280,68.5%,3.19,42.5%,26.1%,229,13.2,--
2yr College,119,29.1%,3.00,32.8%,15.1%,216,--,8.6
4yr College/Univ.,9,2.2%,3.25,55.6%,22.2%,228,--,--
Unknown,1,0.2%,3.90,0.0%,100.0%,180,--,--
First Generation College Status
First Generation,126,30.8%,3.08,36.5%,19.0%,224,13.8,7.9
Not First Generation,283,69.2%,3.16,41.3%,24.7%,225,12.9,9.0
Income
High: > $98401,98,24.0%,3.24,50.0%,25.5%,223,12.5,9.0
Medium High: $65601 - $98400,42,10.3%,3.21,31.0%,33.3%,228,13.6,8.4
Medium Low: $32801 - $65600,66,16.1%,3.07,37.9%,18.2%,229,13.4,10.0
Low: < $32800,88,21.5%,3.04,37.5%,15.9%,224,13.7,7.9
Missing/Undeclared,115,28.1%,3.14,37.4%,25.2%,223,13.1,8.4
Total Science/Math,409,100.0%,3.14,39.9%,23.0%,225,13.2,8.6

Biology
Gender
Female,880,59.5%,3.13,39.7%,21.9%,217,12.8,8.3
Male,598,40.5%,3.18,37.5%,28.4%,219,13.0,8.3
Ethnicity
African Am.,17,1.2%,3.02,41.2%,11.8%,224,13.6,8.8
Asian,639,43.2%,3.08,40.1%,17.4%,218,12.9,8.4
Mexican Am.,84,5.7%,2.91,23.8%,11.9%,213,13.8,8.5
Filipino,70,4.7%,2.85,18.6%,10.0%,214,13.3,9.1
Latino,16,1.1%,3.02,43.8%,6.3%,216,13.1,7.3
Native Am.,3,0.2%,3.33,33.3%,33.3%,192,12.0,6.0
Caucasian,229,15.5%,3.15,45.9%,21.8%,210,12.5,8.0
Other,420,28.4%,3.36,39.0%,43.1%,223,12.7,8.1
College
Revelle,399,27.0%,3.13,34.8%,24.3%,221,12.8,8.4
Muir,264,17.9%,3.22,36.7%,32.2%,218,12.7,8.0
Marshall,258,17.5%,3.18,40.7%,27.5%,211,12.8,7.5
Warren,229,15.5%,3.15,43.2%,22.3%,217,12.7,8.6
Roosevelt,162,11.0%,3.11,41.4%,19.8%,222,13.0,9.3
Sixth,166,11.2%,3.06,39.8%,16.3%,218,13.2,7.9
School Type
High School,1089,73.7%,3.18,40.4%,26.5%,220,12.9,--
2yr College,369,25.0%,3.03,32.0%,19.2%,210,--,8.3
4yr College/Univ.,19,1.3%,3.21,73.7%,15.8%,216,--,--
Unknown,1,0.1%,3.38,100.0%,0.0%,232,--,--
First Generation College Status
First Generation,416,28.1%,3.03,35.3%,17.3%,217,13.2,8.3
Not First Generation,1062,71.9%,3.19,40.1%,27.4%,218,12.7,8.3
Income
High: > $98401,384,26.0%,3.23,41.1%,30.7%,215,12.4,8.1
Medium High: $65601 - $98400,163,11.0%,3.16,34.4%,26.4%,216,12.5,8.0
Medium Low: $32801 - $65600,297,20.1%,3.07,39.7%,16.8%,219,13.3,8.5
Low: < $32800,323,21.9%,3.07,37.2%,19.5%,221,13.4,8.4
Missing/Undeclared,311,21.0%,3.18,38.9%,28.6%,217,12.5,8.3
Total Biology,1478,100.0%,3.15,38.8%,24.6%,218,12.9,8.3

Social Sciences
Gender
Female,1774,58.5%,3.17,42.4%,25.3%,204,12.6,6.9
Male,1260,41.5%,3.07,36.7%,20.6%,203,13.4,7.3
Ethnicity
African Am.,73,2.4%,3.05,45.2%,13.7%,207,13.6,7.1
Asian,1273,42.0%,3.09,39.1%,20.4%,204,12.9,6.9
Mexican Am.,320,10.5%,3.02,40.9%,13.4%,202,13.5,7.2
Filipino,95,3.1%,3.00,38.9%,12.6%,201,13.0,7.6
Latino,94,3.1%,3.08,42.6%,14.9%,206,13.0,7.8
Native Am.,19,0.6%,3.20,36.8%,26.3%,192,11.8,7.8
Caucasian,784,25.8%,3.24,42.0%,31.1%,202,12.4,7.2
Other,376,12.4%,3.20,37.0%,31.9%,208,12.8,7.3
College
Revelle,287,9.5%,2.98,41.5%,11.1%,211,13.3,8.8
Muir,569,18.8%,3.17,39.0%,26.4%,205,12.7,7.0
Marshall,693,22.8%,3.14,40.5%,23.2%,199,12.8,6.8
Warren,440,14.5%,3.12,40.9%,22.7%,202,12.7,7.1
Roosevelt,635,20.9%,3.18,36.7%,29.8%,207,12.7,7.3
Sixth,410,13.5%,3.11,43.7%,18.5%,201,13.2,6.9
School Type
High School,1670,55.0%,3.17,41.8%,25.9%,209,12.9,--
2yr College,1287,42.4%,3.07,36.8%,20.3%,197,--,7.1
4yr College/Univ.,71,2.3%,3.25,57.7%,19.7%,210,--,--
Unknown,6,0.2%,2.73,16.7%,0.0%,198,--,--
First Generation College Status
First Generation,998,32.9%,3.05,40.5%,16.3%,203,13.1,7.3
Not First Generation,2036,67.1%,3.17,39.8%,26.8%,204,12.7,7.0
Income
High: > $98401,718,23.7%,3.21,35.9%,30.9%,203,12.4,6.9
Medium High: $65601 - $98400,319,10.5%,3.11,41.7%,21.3%,205,12.5,7.5
Medium Low: $32801 - $65600,571,18.8%,3.09,44.8%,17.9%,205,12.9,7.3
Low: < $32800,652,21.5%,3.03,39.1%,15.3%,204,13.4,7.4
Missing/Undeclared,774,25.5%,3.19,40.3%,27.9%,203,12.8,7.0
Total Social Sciences,3034,100.0%,3.13,40.0%,23.3%,204,12.9,7.1
