Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
Male,95,45.7%,3.29,46.3%,31.6%,213,14.6,8.4
Ethnicity
African Am.,4,1.9%,3.43,50.0%,50.0%,214,16.0,7.0
Asian,56,26.9%,3.30,60.7%,25.0%,223,13.3,8.0
Mexican Am.,23,11.1%,3.28,43.5%,34.8%,214,15.6,8.4
Filipino,17,8.2%,3.30,52.9%,23.5%,216,15.0,7.7
Latino,8,3.8%,3.47,12.5%,62.5%,202,14.0,8.0
Native Am.,1,0.5%,2.67,0.0%,0.0%,190,13.0,--
Caucasian,78,37.5%,3.46,34.6%,55.1%,215,13.7,8.7
Other,21,10.1%,3.43,28.6%,47.6%,211,13.5,8.5
College
Revelle,9,4.3%,3.21,66.7%,11.1%,242,15.0,10.0
Muir,49,23.6%,3.47,36.7%,55.1%,214,12.7,8.9
Marshall,28,13.5%,3.31,35.7%,39.3%,218,14.1,8.8
Warren,19,9.1%,3.37,52.6%,36.8%,218,13.8,7.3
Roosevelt,35,16.8%,3.35,45.7%,37.1%,217,14.6,8.3
Sixth,68,32.7%,3.37,42.6%,39.7%,212,13.9,7.9
School Type
High School,97,46.6%,3.30,51.5%,32.0%,222,13.9,--
2yr College,110,52.9%,3.44,35.5%,49.1%,211,--,8.3
4yr College/Univ.,1,0.5%,3.87,0.0%,100.0%,207,--,--
Unknown,0,0.0%,--,--,--,--,--,--
First Generation College Status
First Generation,58,27.9%,3.31,48.3%,34.5%,215,14.8,9.0
Not First Generation,150,72.1%,3.40,40.7%,44.0%,216,13.5,8.1
Income
High: > $98401,49,23.6%,3.42,46.9%,40.8%,209,13.3,8.0
Medium High: $65601 - $98400,22,10.6%,3.44,40.9%,45.5%,222,12.9,7.4
Medium Low: $32801 - $65600,34,16.3%,3.29,55.9%,26.5%,228,14.5,9.6
Low: < $32800,42,20.2%,3.19,52.4%,21.4%,220,14.6,8.4
Missing/Undeclared,61,29.3%,3.50,26.2%,62.3%,211,13.1,8.3
Total Arts,208,100.0%,3.38,42.8%,41.3%,216,13.9,8.3

Humanities
Gender
Female,133,55.6%,3.30,37.6%,39.8%,214,13.4,8.1
Male,106,44.4%,3.20,46.2%,23.6%,201,14.4,7.8
Ethnicity
African Am.,10,4.2%,3.15,50.0%,20.0%,210,13.3,9.3
Asian,47,19.7%,3.21,40.4%,31.9%,216,13.3,9.1
Mexican Am.,41,17.2%,3.08,39.0%,19.5%,208,15.6,8.2
Filipino,8,3.3%,3.16,62.5%,12.5%,212,12.8,6.8
Latino,11,4.6%,3.22,27.3%,45.5%,195,12.7,7.1
Native Am.,3,1.3%,3.41,66.7%,33.3%,217,--,7.3
Caucasian,95,39.7%,3.34,38.9%,38.9%,202,13.6,7.7
Other,24,10.0%,3.36,50.0%,37.5%,226,13.5,8.1
College
Revelle,20,8.4%,2.97,25.0%,20.0%,220,13.8,8.5
Muir,51,21.3%,3.26,45.1%,29.4%,205,12.7,9.0
Marshall,50,20.9%,3.30,46.0%,34.0%,208,14.4,7.7
Warren,35,14.6%,3.24,51.4%,25.7%,203,13.4,7.2
Roosevelt,54,22.6%,3.29,35.2%,40.7%,212,14.3,7.5
Sixth,29,12.1%,3.29,37.9%,37.9%,209,13.7,7.9
School Type
High School,108,45.2%,3.24,38.9%,34.3%,216,13.7,--
2yr College,126,52.7%,3.28,43.7%,31.7%,202,--,7.9
4yr College/Univ.,3,1.3%,3.31,66.7%,33.3%,218,--,--
Unknown,2,0.8%,2.39,0.0%,0.0%,197,--,--
First Generation College Status
First Generation,85,35.6%,3.28,42.4%,35.3%,206,13.7,7.7
Not First Generation,154,64.4%,3.24,40.9%,31.2%,210,13.7,8.1
Income
High: > $98401,48,20.1%,3.39,47.9%,41.7%,206,13.5,7.8
Medium High: $65601 - $98400,26,10.9%,3.19,38.5%,30.8%,210,14.6,6.9
Medium Low: $32801 - $65600,33,13.8%,3.08,39.4%,21.2%,209,12.8,9.5
Low: < $32800,42,17.6%,3.13,40.5%,23.8%,214,14.5,6.9
Missing/Undeclared,90,37.7%,3.32,40.0%,36.7%,207,13.4,8.1
Total Humanities,239,100.0%,3.25,41.4%,32.6%,209,13.7,7.9

Engineering
Gender
Female,232,22.1%,3.15,40.9%,21.6%,243,13.6,9.5
Male,820,77.9%,3.13,41.0%,21.3%,235,13.6,9.5
Ethnicity
African Am.,10,1.0%,3.05,30.0%,20.0%,244,14.9,9.0
Asian,378,35.9%,3.03,43.7%,11.6%,235,13.6,9.6
Mexican Am.,91,8.7%,2.96,40.7%,8.8%,237,14.7,10.5
Filipino,48,4.6%,2.97,39.6%,8.3%,231,14.3,9.9
Latino,33,3.1%,3.11,30.3%,24.2%,239,14.3,9.1
Native Am.,3,0.3%,3.06,33.3%,33.3%,220,15.0,--
Caucasian,239,22.7%,3.16,42.3%,21.3%,235,13.7,9.3
Other,250,23.8%,3.35,38.0%,42.8%,240,12.8,8.9
College
Revelle,162,15.4%,3.11,42.6%,18.5%,245,13.8,9.8
Muir,149,14.2%,3.16,40.3%,24.2%,235,13.3,9.2
Marshall,135,12.8%,3.11,43.7%,18.5%,234,13.6,9.4
Warren,313,29.8%,3.14,39.6%,23.0%,232,13.3,9.7
Roosevelt,97,9.2%,3.08,46.4%,14.4%,239,13.7,9.7
Sixth,196,18.6%,3.15,37.8%,24.5%,238,13.9,9.1
School Type
High School,722,68.6%,3.14,39.5%,23.3%,236,13.6,--
2yr College,315,29.9%,3.09,43.2%,16.8%,237,--,9.5
4yr College/Univ.,14,1.3%,3.35,64.3%,28.6%,239,--,--
Unknown,1,0.1%,3.48,100.0%,0.0%,196,--,--
First Generation College Status
First Generation,291,27.7%,3.06,38.5%,17.2%,235,14.1,9.5
Not First Generation,761,72.3%,3.16,41.9%,23.0%,237,13.4,9.5
Income
High: > $98401,276,26.2%,3.22,45.3%,25.7%,237,13.0,9.3
Medium High: $65601 - $98400,108,10.3%,3.12,38.9%,20.4%,238,13.4,9.4
Medium Low: $32801 - $65600,189,18.0%,3.08,40.2%,15.9%,235,13.9,9.5
Low: < $32800,210,20.0%,3.01,35.7%,16.2%,236,14.4,10.0
Missing/Undeclared,269,25.6%,3.18,42.0%,25.3%,237,13.4,9.3
Total Engineering,1052,100.0%,3.13,41.0%,21.4%,236,13.6,9.5

Science/Math
Gender
Female,262,50.2%,3.14,39.7%,23.7%,222,12.7,8.0
Male,260,49.8%,3.14,33.1%,27.7%,220,13.0,8.7
Ethnicity
African Am.,8,1.5%,2.94,50.0%,0.0%,204,13.5,6.8
Asian,224,42.9%,3.11,35.7%,23.7%,222,12.6,7.8
Mexican Am.,32,6.1%,2.90,34.4%,9.4%,220,14.3,9.7
Filipino,20,3.8%,3.04,30.0%,20.0%,219,13.6,8.6
Latino,6,1.1%,3.29,16.7%,50.0%,226,13.3,8.0
Native Am.,2,0.4%,2.97,50.0%,0.0%,200,--,7.0
Caucasian,117,22.4%,3.18,42.7%,23.1%,221,12.9,8.7
Other,113,21.6%,3.25,32.7%,38.9%,220,12.8,8.8
College
Revelle,101,19.3%,3.10,33.7%,26.7%,225,13.0,8.9
Muir,92,17.6%,3.14,39.1%,26.1%,226,12.9,8.7
Marshall,99,19.0%,3.15,30.3%,26.3%,213,12.8,7.7
Warren,91,17.4%,3.18,38.5%,28.6%,221,12.8,8.8
Roosevelt,61,11.7%,3.06,32.8%,21.3%,220,13.0,8.1
Sixth,78,14.9%,3.18,44.9%,23.1%,221,12.8,8.1
School Type
High School,346,66.3%,3.19,39.0%,28.0%,224,12.9,--
2yr College,170,32.6%,3.03,31.8%,20.6%,214,--,8.4
4yr College/Univ.,5,1.0%,3.31,20.0%,40.0%,246,--,--
Unknown,1,0.2%,2.47,0.0%,0.0%,292,--,--
First Generation College Status
First Generation,194,37.2%,3.06,36.1%,19.1%,220,12.9,8.5
Not First Generation,328,62.8%,3.19,36.6%,29.6%,222,12.9,8.3
Income
High: > $98401,115,22.0%,3.25,37.4%,36.5%,224,12.6,9.0
Medium High: $65601 - $98400,55,10.5%,3.25,34.5%,34.5%,218,12.9,7.3
Medium Low: $32801 - $65600,117,22.4%,3.05,40.2%,17.1%,220,12.8,8.4
Low: < $32800,129,24.7%,3.05,37.2%,18.6%,222,13.1,8.6
Missing/Undeclared,106,20.3%,3.14,31.1%,27.4%,218,13.0,8.4
Total Science/Math,522,100.0%,3.14,36.4%,25.7%,221,12.9,8.4

Biology
Gender
Female,696,57.3%,3.17,39.1%,26.0%,220,13.0,8.3
Male,519,42.7%,3.24,33.9%,36.2%,219,13.0,8.9
Ethnicity
African Am.,17,1.4%,2.98,58.8%,0.0%,219,13.8,10.1
Asian,489,40.2%,3.12,39.1%,22.5%,219,13.1,8.3
Mexican Am.,72,5.9%,2.99,29.2%,16.7%,220,14.1,9.5
Filipino,61,5.0%,2.99,36.1%,11.5%,216,13.1,8.7
Latino,24,2.0%,3.05,37.5%,20.8%,212,13.2,8.1
Native Am.,4,0.3%,3.11,25.0%,25.0%,216,14.5,9.0
Caucasian,210,17.3%,3.14,44.3%,22.9%,215,12.9,8.4
Other,338,27.8%,3.45,29.9%,55.0%,225,12.4,8.7
College
Revelle,288,23.7%,3.23,40.3%,31.2%,222,12.9,8.8
Muir,210,17.3%,3.23,34.3%,35.7%,224,12.9,8.4
Marshall,239,19.7%,3.22,38.1%,29.7%,211,12.6,8.1
Warren,201,16.5%,3.20,36.3%,31.3%,221,12.9,9.0
Roosevelt,154,12.7%,3.11,33.8%,24.0%,223,13.3,9.5
Sixth,123,10.1%,3.15,35.8%,26.8%,217,13.6,7.7
School Type
High School,891,73.3%,3.25,38.9%,32.9%,222,13.0,--
2yr College,308,25.3%,3.07,30.8%,23.1%,212,--,8.6
4yr College/Univ.,15,1.2%,3.23,40.0%,26.7%,231,--,--
Unknown,1,0.1%,3.74,0.0%,100.0%,214,--,--
First Generation College Status
First Generation,357,29.4%,3.07,36.4%,19.3%,217,13.4,8.5
Not First Generation,858,70.6%,3.26,37.1%,35.0%,221,12.8,8.6
Income
High: > $98401,325,26.7%,3.31,36.9%,38.8%,219,12.6,7.6
Medium High: $65601 - $98400,127,10.5%,3.16,43.3%,22.0%,221,12.7,9.0
Medium Low: $32801 - $65600,256,21.1%,3.17,37.9%,28.9%,223,13.3,8.8
Low: < $32800,267,22.0%,3.05,37.8%,17.6%,216,13.5,8.3
Missing/Undeclared,240,19.8%,3.27,31.2%,39.2%,221,12.5,9.2
Total Biology,1215,100.0%,3.20,36.9%,30.4%,220,13.0,8.6

Social Sciences
Gender
Female,1775,60.6%,3.15,39.7%,24.7%,205,12.7,7.1
Male,1154,39.4%,3.07,38.4%,19.8%,205,13.2,7.5
Ethnicity
African Am.,52,1.8%,3.09,57.7%,11.5%,211,13.8,7.6
Asian,1251,42.7%,3.06,40.5%,17.2%,205,12.8,7.1
Mexican Am.,334,11.4%,3.04,37.1%,16.8%,203,13.7,7.6
Filipino,100,3.4%,3.09,43.0%,17.0%,206,13.3,7.3
Latino,109,3.7%,3.01,39.4%,11.0%,200,13.6,7.4
Native Am.,18,0.6%,3.12,22.2%,27.8%,208,13.9,8.3
Caucasian,747,25.5%,3.24,37.6%,33.2%,203,12.7,7.2
Other,318,10.9%,3.20,36.2%,34.0%,212,12.5,7.9
College
Revelle,241,8.2%,3.02,33.2%,18.7%,215,13.4,8.5
Muir,527,18.0%,3.13,41.2%,22.6%,205,12.9,7.4
Marshall,669,22.8%,3.13,39.6%,22.3%,201,12.8,7.0
Warren,454,15.5%,3.08,37.2%,22.2%,203,12.6,7.5
Roosevelt,605,20.7%,3.16,39.7%,26.3%,208,13.0,7.4
Sixth,433,14.8%,3.12,40.6%,21.7%,204,12.9,6.9
School Type
High School,1534,52.4%,3.17,41.3%,26.2%,211,12.9,--
2yr College,1345,45.9%,3.05,36.7%,18.4%,198,--,7.3
4yr College/Univ.,48,1.6%,3.31,41.7%,33.3%,211,--,--
Unknown,2,0.1%,3.09,0.0%,50.0%,225,--,--
First Generation College Status
First Generation,1010,34.5%,3.02,36.4%,16.7%,204,13.3,7.2
Not First Generation,1919,65.5%,3.17,40.6%,26.0%,206,12.6,7.3
Income
High: > $98401,680,23.2%,3.21,41.3%,27.9%,205,12.2,6.8
Medium High: $65601 - $98400,292,10.0%,3.16,36.3%,29.5%,207,12.6,7.2
Medium Low: $32801 - $65600,565,19.3%,3.06,38.9%,18.8%,205,12.9,7.6
Low: < $32800,687,23.5%,3.00,40.6%,12.7%,207,13.5,7.5
Missing/Undeclared,705,24.1%,3.17,37.0%,28.1%,204,12.8,7.4
Total Social Sciences,2929,100.0%,3.12,39.2%,22.8%,205,12.9,7.3
