Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
Native Am.,0,0.0%,--,--,--,--,--,--
Caucasian,220,39.1%,3.16,44%,22%,226,13.9,9.7
Other,77,13.7%,3.07,46%,10%,223,13.5,9.7
College
Revelle,121,21.5%,3.18,41%,23%,241,14.0,10.1
Muir,85,15.1%,3.13,46%,20%,223,14.1,10.5
Marshall,68,12.1%,2.93,44%,3%,220,14.2,8.8
Warren,262,46.5%,3.06,41%,15%,218,13.5,9.8
Roosevelt,27,4.8%,2.96,48%,4%,235,14.8,8.8
School Type
High School,391,69.4%,3.11,43%,17%,222,13.3,--
2yr College,164,29.1%,3.02,41%,12%,231,--,8.1
4yr College/Univ.,6,1.1%,2.85,0%,17%,232,--,--
Unknown,2,0.4%,3.26,100%,0%,239,--,--
Total Engineering,563,100.0%,3.08,42%,16%,225,13.9,9.8

Science/Math
Gender
Male,446,46.6%,3.09,40%,21%,212,13.8,9.7
Female,511,53.4%,3.12,39%,23%,211,12.9,8.6
Ethnicity
African Am.,13,1.4%,2.67,8%,15%,213,16.7,14.5
Asian,278,29.0%,3.05,39%,17%,211,13.3,9.0
Mexican Am.,44,4.6%,2.84,25%,11%,212,14.1,8.9
Filipino,59,6.2%,2.96,39%,10%,212,13.1,8.3
Latino,20,2.1%,2.92,35%,10%,210,12.6,10.0
Native Am.,8,0.8%,2.99,25%,25%,225,14.3,--
Caucasian,394,41.2%,3.19,42%,26%,212,13.3,9.3
Other,141,14.7%,3.20,42%,29%,210,12.8,8.5
College
Revelle,315,32.9%,3.14,39%,25%,216,13.4,9.7
Muir,204,21.3%,3.15,45%,23%,211,12.9,9.3
Marshall,155,16.2%,3.01,39%,16%,203,13.3,8.9
Warren,220,23.0%,3.12,36%,26%,211,13.0,8.5
Roosevelt,63,6.6%,2.96,40%,10%,217,14.3,10.2
School Type
High School,723,75.5%,3.16,43%,24%,212,13.1,--
2yr College,224,23.4%,3.92,28%,14%,209,--,8.3
4yr College/Univ.,8,0.8%,3.21,25%,38%,224,--,--
Unknown,2,0.2%,2.17,0%,0%,231,--,--
Total Science/Math,957,100.0%,3.10,39%,22%,211,13.3,9.1

Social Sciences
Gender
Male,709,37.0%,3.03,42%,13%,196,13.6,8.0
Female,1207,63.0%,3.13,46%,19%,197,12.7,7.5
Ethnicity
African Am.,28,1.5%,3.01,39%,11%,194,13.5,6.7
Asian,480,25.1%,3.01,39%,13%,197,13.1,8.3
Mexican Am.,161,8.4%,2.93,33%,8%,196,14.0,8.1
Filipino,85,4.4%,2.95,39%,8%,200,13.1,7.6
Latino,47,2.5%,3.14,51%,21%,195,12.8,7.7
Native Am.,14,0.7%,2.97,43%,7%,205,15.4,8.3
Caucasian,827,43.2%,3.18,49%,22%,197,12.8,7.5
Other,274,14.3%,3.11,49%,15%,196,12.5,7.5
College
Revelle,240,12.5%,2.90,32%,8%,204,13.4,8.4
Muir,469,24.5%,3.13,44%,20%,196,12.9,7.3
Marshall,464,24.2%,3.09,48%,14%,195,13.0,7.9
Warren,420,21.9%,3.12,44%,19%,195,12.7,7.6
Roosevelt,323,16.9%,3.15,51%,18%,200,13.0,8.6
School Type
High School,1361,71.0%,3.12,45%,18%,198,13.3,--
2yr College,524,27.3%,3.02,42%,12%,195,--,9.2
4yr College/Univ.,23,1.2%,3.21,61%,17%,195,--,--
Unknown,8,0.4%,2.66,50%,0%,206,--,--
Total Social Sci.,1916,100.0%,3.09,45%,17%,197,13.0,7.7
