Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
Male,473,43.8%,3.10,37.4%,23.3%,215,13.5,8.8
Ethnicity
African Am.,8,0.7%,3.23,25.0%,37.5%,226,13.0,10.2
Asian,374,34.7%,3.09,39.0%,21.4%,216,12.9,8.4
Mexican Am.,62,5.7%,2.89,27.4%,11.3%,210,13.3,8.7
Filipino,74,6.9%,2.92,40.5%,8.1%,212,13.1,9.1
Latino,14,1.3%,2.83,35.7%,0.0%,223,13.2,11.0
Native Am.,9,0.8%,3.46,22.2%,55.6%,217,12.3,10.4
Caucasian,402,37.3%,3.25,40.8%,32.8%,214,12.9,8.3
Other,136,12.6%,3.07,33.1%,22.8%,218,13.8,8.9
College
Revelle,321,29.7%,3.13,34.9%,26.2%,219,13.3,8.5
Muir,222,20.6%,3.20,41.4%,28.8%,212,12.6,8.7
Marshall,187,17.3%,3.08,41.7%,17.1%,209,12.9,8.2
Warren,256,23.7%,3.11,35.9%,25.8%,216,13.3,8.8
Roosevelt,91,8.4%,3.03,39.6%,18.7%,217,13.4,8.7
School Type
High School,762,70.6%,3.21,42.3%,27.6%,217,13.0,--
2yr College,292,27.1%,2.92,26.7%,16.4%,211,--,8.6
4yr College/Univ.,23,2.1%,3.11,47.8%,26.1%,219,--,--
Unknown,2,0.2%,2.27,0.0%,0.0%,204,--,--
Total Science/Math,1079,100.0%,3.12,38.1%,24.5%,215,13.0,8.6

Social Science
Gender
Female,1512,62.8%,3.17,45.2%,23.2%,199,12.6,7.0
Male,894,37.2%,3.03,38.0%,15.4%,198,13.3,7.4
Ethnicity
African Am.,33,1.4%,2.86,18.2%,18.2%,206,13.3,9.5
Asian,723,30.0%,3.04,39.0%,15.6%,199,12.8,6.8
Mexican Am.,192,8.0%,3.00,43.2%,10.9%,197,13.4,8.0
Filipino,111,4.6%,3.00,40.5%,11.7%,198,13.0,7.8
Latino,60,2.5%,3.07,43.3%,15.0%,203,13.2,6.9
Native Am.,10,0.4%,2.96,40.0%,10.0%,190,15.8,6.0
Caucasian,937,38.9%,3.22,45.1%,27.2%,198,12.6,7.1
Other,340,14.1%,3.15,45.3%,20.9%,200,12.9,7.0
College
Revelle,297,12.3%,3.03,35.4%,19.5%,208,13.1,9.9
Muir,517,21.5%,3.15,43.9%,22.1%,197,12.8,7.3
Marshall,643,26.7%,3.13,43.9%,19.4%,194,12.8,6.9
Warren,513,21.3%,3.09,44.4%,17.2%,197,12.9,6.9
Roosevelt,432,18.0%,3.16,41.4%,23.8%,203,12.6,7.3
School Type
High School,1601,66.5%,3.18,43.7%,24.4%,201,12.8,--
2yr College,745,31.0%,3.00,40.1%,12.2%,195,--,7.1
4yr College/Univ.,52,2.2%,3.12,44.2%,15.4%,199,--,--
Unknown,8,0.3%,2.57,25.0%,0.0%,217,--,--
Total Social Sci.,2406,100.0%,3.12,42.5%,20.3%,199,12.8,7.1
