Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
4yr College/Univ.,6,2.3%,3.32,33.3%,33.3%,212,--,--
Unknown,4,1.5%,3.08,50.0%,25.0%,245,--,--
Total Humanities,262,100.0%,3.19,45.0%,24.4%,205,13.0,7.7

Engineering
Gender
Female,168,20.6%,3.09,32.7%,20.2%,237,13.9,9.8
Male,646,79.4%,3.12,39.5%,21.1%,233,13.9,9.7
Ethnicity
African Am.,16,2.0%,2.81,31.3%,0.0%,231,13.8,11.1
Asian,315,38.7%,3.11,37.8%,20.3%,235,13.7,9.8
Mexican Am.,50,6.1%,2.89,32.0%,8.0%,234,15.4,10.8
Filipino,30,3.7%,2.94,40.0%,10.0%,233,13.8,10.2
Latino,21,2.6%,3.01,28.6%,19.0%,236,13.9,10.0
Native Am.,3,0.4%,3.08,0.0%,33.3%,252,15.5,12.0
Caucasian,266,32.7%,3.21,40.6%,27.1%,233,14.1,9.6
Other,113,13.9%,3.10,38.9%,19.5%,235,13.5,8.9
College
Revelle,140,17.2%,3.11,30.7%,24.3%,241,14.4,9.8
Muir,102,12.5%,3.09,35.3%,18.6%,238,14.4,10.9
Marshall,117,14.4%,3.15,48.7%,17.9%,232,13.9,9.1
Warren,326,40.0%,3.12,38.7%,22.1%,229,13.7,9.9
Roosevelt,74,9.1%,3.02,43.2%,12.2%,237,14.2,9.5
Sixth,55,6.8%,3.16,29.1%,27.3%,241,13.0,7.8
School Type
High School,553,67.9%,3.14,39.1%,22.8%,233,13.9,--
2yr College,248,30.5%,3.04,35.5%,16.5%,236,--,9.7
4yr College/Univ.,12,1.5%,3.25,41.7%,25.0%,251,--,--
Unknown,1,0.1%,3.36,100.0%,0.0%,244,--,--
Total Engineering,814,100.0%,3.11,38.1%,20.9%,234,13.9,9.7

Science/Math
Gender
Female,733,57.4%,3.16,40.0%,25.2%,215,12.7,8.1
Male,545,42.6%,3.12,36.3%,25.3%,216,13.2,8.4
Ethnicity
African Am.,14,1.1%,2.88,50.0%,0.0%,213,13.0,7.9
Asian,522,40.8%,3.14,39.1%,24.3%,219,12.9,7.7
Mexican Am.,63,4.9%,2.98,28.6%,17.5%,208,13.1,8.4
Filipino,77,6.0%,2.97,33.8%,15.6%,214,13.2,9.4
Latino,24,1.9%,3.11,33.3%,25.0%,212,13.6,6.3
Native Am.,7,0.5%,2.96,42.9%,14.3%,204,12.6,6.5
Caucasian,399,31.2%,3.20,39.1%,30.1%,212,12.9,8.3
Other,172,13.5%,3.17,40.1%,26.7%,216,12.6,8.9
College
Revelle,343,26.8%,3.17,38.8%,28.0%,222,12.9,8.6
Muir,216,16.9%,3.20,37.0%,31.5%,211,12.7,7.8
Marshall,206,16.1%,3.08,32.5%,22.8%,210,13.1,8.8
Warren,323,25.3%,3.12,39.9%,22.6%,212,12.9,8.1
Roosevelt,129,10.1%,3.10,39.5%,18.6%,218,13.0,8.6
Sixth,61,4.8%,3.20,50.8%,24.6%,223,12.5,6.6
School Type
High School,951,74.4%,3.19,40.5%,27.5%,218,12.9 --
2yr College,303,23.7%,2.98,31.4%,18.2%,208 --,8.3
4yr College/Univ.,20,1.6%,3.18,50.0%,20.0%,218 -- --
Unknown,4,0.3%,3.48,25.0%,50.0%,250 -- --
Total Sci./Math,1278,100.0%,3.14,38.4%,25.3%,215,12.9,8.3

Social Science
Gender
Female,1443,59.0%,3.16,43.3%,23.1%,201,12.5,6.9
Male,1003,41.0%,3.05,38.8%,17.7%,200,13.2,7.2
Ethnicity
African Am.,29,1.2%,2.90,34.5%,6.9%,200,13.3,8.1
Asian,743,30.4%,3.04,40.4%,16.0%,202,12.8,6.8
Mexican Am.,221,9.0%,2.99,34.8%,14.9%,196,13.7,7.0
Filipino,106,4.3%,2.97,43.4%,8.5%,198,13.3,7.2
Latino,64,2.6%,3.11,39.1%,20.3%,201,12.7,7.6
Native Am.,12,0.5%,3.30,25.0%,50.0%,197,14.9,6.4
Caucasian,937,38.3%,3.22,42.9%,28.6%,200,12.5,7.0
Other,334,13.7%,3.12,45.2%,18.6%,201,12.6,7.2
College
Revelle,271,11.1%,3.01,42.1%,12.5%,211,13.2,7.9
Muir,509,20.8%,3.13,40.9%,22.6%,199,12.7,7.0
Marshall,566,23.1%,3.13,42.9%,21.4%,198,12.8,7.0
Warren,510,20.9%,3.09,40.0%,19.0%,197,12.8,7.0
Roosevelt,445,18.2%,3.14,43.4%,23.1%,205,12.7,7.5
Sixth,145,5.9%,3.20,35.9%,29.0%,200,12.0,6.0
School Type
High School,1576,64.4%,3.15,43.5%,23.3%,204,12.8,--
2yr College,798,32.6%,3.05,37.5%,16.7%,194,--,7.0
4yr College/Univ.,48,2.0%,3.12,47.9%,14.6%,202,--,--
Unknown,24,1.0%,2.99,25.0%,20.8%,200,--,--
Total Social Sci.,2446,100.0%,3.12,41.5%,20.9%,201,12.8,7.0
