Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
Low: < $32800,212,19.0%,3.08,33.5%,20.3%,216,13.0,8.5
Missing/Undeclared,285,25.6%,3.19,37.5%,28.1%,215,12.7,7.9
Total Biology,1113,100.0%,3.15,38.8%,24.0%,215,12.8,7.9

Social Sciences
Gender
Female,1574,61.1%,3.17,45.5%,22.3%,201,12.4,7.3
Male,1003,38.9%,3.04,38.0%,17.4%,200,13.2,7.6
Ethnicity
African Am.,33,1.3%,3.03,60.6%,6.1%,203,13.6,8.3
Asian,858,33.3%,3.05,41.5%,14.7%,200,12.8,7.3
Mexican Am.,225,8.7%,2.99,36.4%,13.3%,200,13.0,8.5
Filipino,121,4.7%,3.00,34.7%,14.9%,200,13.3,7.4
Latino,78,3.0%,3.14,38.5%,25.6%,199,12.8,7.3
Native Am.,5,0.2%,3.48,0.0%,80.0%,209,11.5,14.3
Caucasian,892,34.6%,3.22,44.5%,27.5%,201,12.5,7.2
Other,365,14.2%,3.15,46.6%,22.2%,202,12.0,7.6
College
Revelle,289,11.2%,3.03,37.4%,17.6%,210,13.1,9.1
Muir,548,21.3%,3.14,42.9%,21.9%,199,12.5,7.5
Marshall,561,21.8%,3.11,42.2%,20.7%,197,13.0,7.5
Warren,451,17.5%,3.08,40.8%,18.4%,198,12.5,7.3
Roosevelt,490,19.0%,3.18,45.3%,23.1%,203,12.5,7.6
Sixth,238,9.2%,3.13,46.6%,18.1%,200,12.5,6.4
School Type
High School,1690,65.6%,3.16,45.0%,22.8%,202,12.7,--
2yr College,815,31.6%,3.01,37.7%,14.7%,197,--,7.5
4yr College/Univ.,47,1.8%,3.20,51.1%,21.3%,204,--,--
Unknown,25,1.0%,3.16,20.0%,40.0%,203,--,--
First Generation College Status
First Generation,720,27.9%,3.03,40.6%,14.2%,198,12.8,7.4
Not First Generation,1857,72.1%,3.15,43.3%,22.8%,202,12.6,7.5
Income
High: > $98401,560,21.7%,3.18,42.9%,24.3%,202,12.3,7.2
Medium High: $65601 - $98400,312,12.1%,3.16,45.5%,23.1%,200,12.6,7.3
Medium Low: $32801 - $65600,498,19.3%,3.08,42.2%,16.7%,199,12.8,7.7
Low: < $32800,517,20.1%,3.00,41.6%,12.8%,201,13.1,7.9
Missing/Undeclared,690,26.8%,3.16,42.0%,24.5%,201,12.6,7.4
Total Social Sciences,2577,100.0%,3.12,42.6%,20.4%,201,12.7,7.5
