Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
African Am.,7,2.7%,3.32,14.3%,42.9%,210,10.5,8.0
Asian,53,20.4%,3.27,49.1%,30.2%,214,12.8,7.2
Mexican Am.,24,9.2%,3.32,37.5%,37.5%,203,12.8,7.0
Filipino,9,3.5%,3.25,33.3%,33.3%,206,11.5,7.4
Latino,16,6.2%,3.09,62.5%,6.3%,210,12.4,7.5
Native Am.,1,0.4%,3.85,0.0%,100.0%,197,--,6.0
Caucasian,105,40.4%,3.31,59.0%,27.6%,204,13.1,6.7
Other,45,17.3%,3.35,28.9%,42.2%,215,12.7,8.4
College
Revelle,27,10.4%,3.17,40.7%,22.2%,223,13.2,12.5
Muir,63,24.2%,3.38,52.4%,36.5%,215,12.5,7.0
Marshall,46,17.7%,3.28,37.0%,32.6%,203,13.8,6.6
Warren,41,15.8%,3.25,43.9%,31.7%,200,12.6,6.1
Roosevelt,55,21.2%,3.29,54.5%,27.3%,203,12.4,7.1
Sixth,28,10.8%,3.33,53.6%,32.1%,213,12.8,8.3
School Type
High School,141,54.2%,3.35,47.5%,36.2%,211,12.8,--
2yr College,112,43.1%,3.23,49.1%,25.0%,205,--,7.2
4yr College/Univ.,7,2.7%,3.18,28.6%,28.6%,219,--,--
Unknown,0,0.0%,--,--,--,--,--,--
First Generation College Status
First Generation,68,26.2%,3.24,51.5%,23.5%,210,13.2,7.8
Not First Generation,192,73.8%,3.31,46.4%,33.9%,208,12.7,7.0
Income
High: > $98401,55,21.2%,3.45,50.9%,43.6%,211,12.6,6.9
Medium High: $65601 - $98400,26,10.0%,3.33,46.2%,42.3%,204,11.7,7.9
Medium Low: $32801 - $65600,41,15.8%,3.18,56.1%,17.1%,214,12.5,7.7
Low: < $32800,44,16.9%,3.22,50.0%,20.5%,212,13.6,7.2
Missing/Undeclared,94,36.2%,3.28,41.5%,31.9%,204,13.0,7.0
Total Humanities,260,100.0%,3.30,47.7%,31.2%,209,12.8,7.2

Engineering
Gender
Female,191,23.3%,3.18,47.1%,21.5%,239,13.6,9.1
Male,627,76.7%,3.11,38.8%,20.6%,235,13.6,9.9
Ethnicity
African Am.,10,1.2%,2.83,10.0%,10.0%,227,16.3,11.0
Asian,287,35.1%,3.03,42.2%,9.8%,232,13.6,9.8
Mexican Am.,56,6.8%,2.97,41.1%,7.1%,240,15.2,10.7
Filipino,37,4.5%,2.88,29.7%,5.4%,228,13.5,11.0
Latino,16,2.0%,2.98,31.3%,18.8%,233,13.6,10.0
Native Am.,5,0.6%,2.88,20.0%,20.0%,238,15.3,12.5
Caucasian,190,23.2%,3.18,44.2%,23.2%,235,14.0,9.1
Other,217,26.5%,3.33,40.1%,40.1%,243,13.0,9.5
College
Revelle,127,15.5%,3.13,35.4%,22.8%,242,13.7,10.0
Muir,120,14.7%,3.21,45.0%,25.0%,237,13.8,10.5
Marshall,112,13.7%,3.13,42.0%,19.6%,236,13.7,9.7
Warren,256,31.3%,3.10,36.7%,20.7%,229,13.3,9.7
Roosevelt,59,7.2%,3.16,47.5%,20.3%,247,13.6,8.9
Sixth,144,17.6%,3.09,45.1%,16.7%,237,13.7,9.4
School Type
High School,567,69.3%,3.16,39.9%,22.9%,237,13.6,--
2yr College,243,29.7%,3.07,42.0%,16.0%,235,--,9.7
4yr College/Univ.,7,0.9%,3.10,57.1%,14.3%,242,--,--
Unknown,1,0.1%,3.14,100.0%,0.0%,213,--,--
First Generation College Status
First Generation,215,26.3%,3.02,39.1%,12.1%,233,14.0,9.8
Not First Generation,603,73.7%,3.17,41.3%,23.9%,237,13.5,9.7
Income
High: > $98401,159,19.4%,3.19,49.7%,22.0%,237,13.4,10.1
Medium High: $65601 - $98400,91,11.1%,3.11,36.3%,20.9%,234,13.8,10.4
Medium Low: $32801 - $65600,160,19.6%,3.08,43.1%,13.8%,236,13.5,9.5
Low: < $32800,157,19.2%,2.99,36.3%,11.5%,233,14.1,10.0
Missing/Undeclared,251,30.7%,3.22,37.8%,30.3%,238,13.4,9.4
Total Engineering,818,100.0%,3.13,40.7%,20.8%,236,13.6,9.7

Science/Math
Gender
Female,178,43.1%,3.12,37.6%,25.3%,225,13.1,8.2
Male,235,56.9%,3.09,39.6%,20.9%,226,13.6,9.1
Ethnicity
African Am.,6,1.5%,2.45,0.0%,0.0%,205,16.0,10.0
Asian,151,36.6%,3.04,37.7%,17.9%,224,13.1,9.4
Mexican Am.,21,5.1%,2.93,28.6%,14.3%,226,14.5,7.8
Filipino,17,4.1%,2.77,35.3%,0.0%,219,13.7,8.3
Latino,8,1.9%,3.13,37.5%,25.0%,220,13.8,9.7
Native Am.,2,0.5%,2.81,0.0%,0.0%,195,12.0,6.0
Caucasian,83,20.1%,3.19,42.2%,27.7%,229,13.6,9.0
Other,125,30.3%,3.23,42.4%,31.2%,228,13.3,8.2
College
Revelle,101,24.5%,3.13,44.6%,20.8%,229,13.3,8.6
Muir,76,18.4%,3.16,42.1%,26.3%,227,13.3,8.5
Marshall,57,13.8%,3.06,33.3%,22.8%,219,13.0,9.4
Warren,85,20.6%,3.08,28.2%,25.9%,221,13.4,8.3
Roosevelt,37,9.0%,2.97,29.7%,16.2%,226,13.8,9.7
Sixth,57,13.8%,3.13,50.9%,21.1%,231,13.6,8.6
School Type
High School,281,68.0%,3.16,44.8%,22.8%,230,13.4,--
2yr College,131,31.7%,2.99,26.0%,22.9%,216,--,8.8
4yr College/Univ.,1,0.2%,2.72,0.0%,0.0%,247,--,--
Unknown,0,0.0%,--,--,--,--,--,--
First Generation College Status
First Generation,128,31.0%,3.04,37.5%,18.8%,224,13.4,8.5
Not First Generation,285,69.0%,3.13,39.3%,24.6%,227,13.3,8.9
Income
High: > $98401,91,22.0%,3.19,35.2%,31.9%,228,13.6,8.1
Medium High: $65601 - $98400,53,12.8%,3.09,41.5%,17.0%,224,13.4,9.1
Medium Low: $32801 - $65600,79,19.1%,3.07,39.2%,19.0%,228,13.3,10.0
Low: < $32800,93,22.5%,3.05,44.1%,15.1%,226,13.4,9.1
Missing/Undeclared,97,23.5%,3.10,35.1%,27.8%,222,13.0,8.3
Total Science/Math,413,100.0%,3.10,38.7%,22.8%,226,13.4,8.8

Biology
Gender
Female,855,57.7%,3.14,41.3%,22.1%,219,12.7,8.5
Male,628,42.3%,3.18,41.2%,25.8%,217,13.0,8.3
Ethnicity
African Am.,20,1.3%,2.97,50.0%,0.0%,212,14.3,8.3
Asian,648,43.7%,3.08,38.7%,18.7%,219,13.0,8.5
Mexican Am.,82,5.5%,2.90,41.5%,4.9%,211,13.8,8.3
Filipino,62,4.2%,3.07,46.8%,14.5%,216,12.9,8.6
Latino,27,1.8%,3.06,48.1%,14.8%,215,12.7,9.5
Native Am.,4,0.3%,3.08,50.0%,0.0%,222,14.0,10.0
Caucasian,282,19.0%,3.14,46.1%,18.8%,213,12.7,8.3
Other,358,24.1%,3.40,39.9%,44.7%,223,12.4,8.1
College
Revelle,366,24.7%,3.15,42.9%,21.6%,218,12.8,8.8
Muir,270,18.2%,3.20,38.1%,29.6%,220,12.8,8.1
Marshall,226,15.2%,3.15,42.0%,24.8%,210,12.6,7.9
Warren,266,17.9%,3.17,37.6%,27.1%,220,13.0,8.3
Roosevelt,175,11.8%,3.09,40.0%,19.4%,224,13.1,9.5
Sixth,180,12.1%,3.14,48.3%,16.7%,217,12.9,8.0
School Type
High School,1105,74.5%,3.21,42.9%,26.5%,220,12.9,--
2yr College,352,23.7%,3.00,36.4%,15.9%,210,--,8.4
4yr College/Univ.,22,1.5%,3.05,45.5%,9.1%,229,--,--
Unknown,4,0.3%,2.69,0.0%,0.0%,219,--,--
First Generation College Status
First Generation,403,27.2%,3.05,39.0%,14.6%,214,13.1,8.0
Not First Generation,1080,72.8%,3.20,42.1%,27.0%,220,12.8,8.6
Income
High: > $98401,346,23.3%,3.28,40.2%,34.7%,218,12.5,8.5
Medium High: $65601 - $98400,194,13.1%,3.13,38.7%,24.7%,220,12.9,8.5
Medium Low: $32801 - $65600,290,19.6%,3.10,40.0%,19.0%,216,13.0,8.0
Low: < $32800,296,20.0%,3.04,36.8%,15.9%,218,13.4,8.6
Missing/Undeclared,357,24.1%,3.19,48.5%,22.7%,218,12.7,8.4
Total Biology,1483,100.0%,3.15,41.3%,23.7%,218,12.9,8.4

Social Sciences
Gender
Female,1722,59.3%,3.16,41.8%,24.2%,205,12.6,6.9
Male,1184,40.7%,3.06,39.4%,17.2%,201,13.1,7.4
Ethnicity
African Am.,38,1.3%,3.05,50.0%,10.5%,195,13.5,6.5
Asian,1208,41.6%,3.07,38.2%,18.7%,204,12.8,7.1
Mexican Am.,293,10.1%,3.03,38.2%,15.0%,201,13.2,7.1
Filipino,105,3.6%,3.04,40.0%,14.3%,205,12.9,7.7
Latino,104,3.6%,3.10,39.4%,18.3%,203,13.0,7.6
Native Am.,16,0.6%,3.16,50.0%,12.5%,195,13.5,6.3
Caucasian,789,27.2%,3.23,44.9%,27.6%,201,12.6,7.1
Other,353,12.1%,3.19,41.9%,26.3%,208,12.7,7.3
College
Revelle,247,8.5%,3.02,39.7%,14.6%,213,13.3,8.5
Muir,548,18.9%,3.15,38.0%,25.4%,204,12.8,7.3
Marshall,635,21.9%,3.13,40.3%,21.1%,200,12.9,7.2
Warren,467,16.1%,3.14,40.9%,23.6%,201,12.6,6.8
Roosevelt,585,20.1%,3.15,39.5%,24.8%,206,12.6,7.2
Sixth,424,14.6%,3.09,47.6%,13.4%,200,12.8,6.7
School Type
High School,1729,59.5%,3.17,43.0%,24.1%,208,12.8,--
2yr College,1106,38.1%,3.05,36.9%,17.1%,196,--,7.1
4yr College/Univ.,67,2.3%,3.22,49.3%,23.9%,206,--,--
Unknown,4,0.1%,2.99,50.0%,0.0%,196,--,--
First Generation College Status
First Generation,895,30.8%,3.05,39.4%,15.8%,203,13.0,7.2
Not First Generation,2011,69.2%,3.16,41.4%,23.9%,203,12.7,7.1
Income
High: > $98401,651,22.4%,3.19,42.4%,26.0%,202,12.4,6.7
Medium High: $65601 - $98400,296,10.2%,3.13,39.9%,23.0%,201,12.6,7.3
Medium Low: $32801 - $65600,555,19.1%,3.08,45.2%,16.0%,205,13.0,7.2
Low: < $32800,618,21.3%,3.02,36.7%,14.6%,204,13.2,7.6
Missing/Undeclared,786,27.0%,3.18,39.9%,26.1%,203,12.5,7.1
Total Social Sciences,2906,100.0%,3.12,40.8%,21.4%,203,12.8,7.1
