Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
Other,29,14.10%,3.49,44.80%,48.30%,210,13.5,7.6
College,,,,,,,,
Revelle,18,8.70%,3.09,33.30%,22.20%,238,15.9,9.5
Muir,34,16.50%,3.46,32.40%,52.90%,210,13.5,7.5
Marshall,27,13.10%,3.39,29.60%,48.10%,209,14,7
Warren,25,12.10%,3.42,52.00%,44.00%,216,12.7,7.8
Roosevelt,26,12.60%,3.45,42.30%,50.00%,215,14.3,7.7
Sixth,76,36.90%,3.47,43.40%,48.70%,208,12.8,8.1
School Type,,,,,,,,
High School,92,44.70%,3.33,40.20%,41.30%,220,13.7,--
2yr College,111,53.90%,3.48,39.60%,50.50%,207,--,7.8
4yr College/Univ.,3,1.50%,3.57,33.30%,66.70%,226,--,--
Unknown,0,0.00%,--,--,--,--,--,--
First Generation College Status,,,,,,,,
First Generation,68,33.00%,3.41,35.30%,47.10%,210,13.8,8.1
Not First Generation,138,67.00%,3.42,42.00%,46.40%,214,13.7,7.7
Income,,,,,,,,
High: > $98401,55,26.70%,3.42,40.00%,47.30%,213,13.6,7.4
Medium High: $65601 - $98400,23,11.20%,3.56,34.80%,60.90%,219,12.8,7.7
Medium Low: $32801 - $65600,31,15.00%,3.42,32.30%,54.80%,210,14.1,9.3
Low: < $32800,40,19.40%,3.25,45.00%,30.00%,214,14.1,7.8
Missing/Undeclared,57,27.70%,3.47,42.10%,47.40%,211,13.2,7.8
Total Arts,206,100.00%,3.42,39.80%,46.60%,213,13.7,7.8
,,,,,,,,
Humanities,,,,,,,,
Gender,,,,,,,,
Female,94,55.30%,3.37,36.20%,43.60%,216,12.9,8
Male,76,44.70%,3.21,39.50%,30.30%,206,13.9,8.9
Ethnicity,,,,,,,,
African Am.,10,5.90%,3.05,10.00%,40.00%,204,13,8.7
Asian,35,20.60%,3.25,37.10%,34.30%,215,13.9,7.5
Mexican Am.,24,14.10%,3.11,45.80%,12.50%,201,13.8,7.9
Filipino,3,1.80%,3.52,66.70%,33.30%,212,--,8.3
Latino,6,3.50%,3.69,33.30%,66.70%,233,12,9.4
Native Am.,1,0.60%,3.05,100.00%,0.00%,192,--,15
Caucasian,68,40.00%,3.36,35.30%,45.60%,213,13.1,8.8
Other,23,13.50%,3.36,43.50%,39.10%,210,12,7.6
College,,,,,,,,
Revelle,20,11.80%,3.28,35.00%,40.00%,215,14.3,10
Muir,34,20.00%,3.31,44.10%,32.40%,209,13.6,7.7
Marshall,38,22.40%,3.27,47.40%,31.60%,208,12.1,8.5
Warren,23,13.50%,3.27,30.40%,43.50%,213,13.6,8.4
Roosevelt,45,26.50%,3.37,31.10%,44.40%,215,13,7.7
Sixth,10,5.90%,3.12,30.00%,30.00%,205,13.6,11.8
School Type,,,,,,,,
High School,80,47.10%,3.38,37.50%,46.20%,213,13.3,--
2yr College,80,47.10%,3.22,35.00%,30.00%,210,--,8.5
4yr College/Univ.,7,4.10%,3.41,71.40%,28.60%,211,--,--
Unknown,3,1.80%,2.98,33.30%,33.30%,197,--,--
First Generation College Status,,,,,,,,
First Generation,51,30.00%,3.26,43.10%,29.40%,210,14,8.4
Not First Generation,119,70.00%,3.32,35.30%,41.20%,212,13,8.5
Income,,,,,,,,
High: > $98401,32,18.80%,3.39,31.20%,46.90%,217,13.3,7.9
Medium High: $65601 - $98400,10,5.90%,2.93,60.00%,0.00%,218,13.5,9.3
Medium Low: $32801 - $65600,39,22.90%,3.31,35.90%,38.50%,211,13.8,7.2
Low: < $32800,30,17.60%,3.11,46.70%,16.70%,204,13.3,8.5
Missing/Undeclared,59,34.70%,3.4,33.90%,49.20%,212,12.4,9
Total Humanities,170,100.00%,3.3,37.60%,37.60%,211,13.3,8.5
,,,,,,,,
Engineering,,,,,,,,
Gender,,,,,,,,
Female,222,20.90%,3.25,45.50%,27.90%,242,13.4,9.6
Male,841,79.10%,3.13,42.40%,22.10%,236,13.5,9.9
Ethnicity,,,,,,,,
African Am.,9,0.80%,3.11,66.70%,11.10%,229,15,9
Asian,393,37.00%,3.11,46.80%,16.80%,237,13.5,9.6
Mexican Am.,80,7.50%,2.88,32.50%,7.50%,233,14.9,11.2
Filipino,50,4.70%,3.15,46.00%,16.00%,233,13.1,9.2
Latino,27,2.50%,3.01,44.40%,7.40%,236,14,9.8
Native Am.,4,0.40%,3.36,50.00%,25.00%,236,12.5,10.5
Caucasian,236,22.20%,3.14,41.50%,23.70%,237,14,10
Other,264,24.80%,3.34,40.50%,40.90%,240,12.9,9.6
College,,,,,,,,
Revelle,169,15.90%,3.19,39.10%,27.20%,245,13.6,10.3
Muir,127,11.90%,3.16,46.50%,19.70%,236,13.7,9.7
Marshall,135,12.70%,3.18,40.00%,27.40%,238,13.4,9.8
Warren,342,32.20%,3.16,44.70%,24.60%,232,13.2,10
Roosevelt,110,10.30%,3.09,43.60%,16.40%,239,14.3,10.1
Sixth,180,16.90%,3.13,43.30%,21.10%,238,13.5,9.1
School Type,,,,,,,,
High School,685,64.40%,3.19,43.80%,25.70%,236,13.5,--
2yr College,364,34.20%,3.09,42.00%,18.70%,238,--,9.8
4yr College/Univ.,14,1.30%,3.22,35.70%,28.60%,248,--,--
Unknown,0,0.00%,--,--,--,--,--,--
First Generation College Status,,,,,,,,
First Generation,311,29.30%,3.08,43.10%,17.00%,237,13.8,9.8
Not First Generation,752,70.70%,3.19,43.10%,25.90%,237,13.4,9.8
Income,,,,,,,,
High: > $98401,293,27.60%,3.24,44.00%,30.40%,238,13.2,9.3
Medium High: $65601 - $98400,107,10.10%,3.13,45.80%,19.60%,239,13.6,9.7
Medium Low: $32801 - $65600,188,17.70%,3.12,42.60%,19.10%,238,13.6,9.8
Low: < $32800,208,19.60%,3.07,42.30%,17.30%,237,13.9,9.9
Missing/Undeclared,267,25.10%,3.16,41.90%,24.70%,235,13.3,10.2
Total Engineering,1063,100.00%,3.16,43.10%,23.30%,237,13.5,9.8
,,,,,,,,
Science/Math,,,,,,,,
Gender,,,,,,,,
Female,332,53.00%,3.13,34.90%,25.90%,225,13.1,8.6
Male,294,47.00%,3.1,37.80%,22.10%,221,13,8.2
Ethnicity,,,,,,,,
African Am.,6,1.00%,2.85,33.30%,0.00%,244,13.5,6
Asian,276,44.10%,3.11,40.20%,23.60%,222,13.2,7.7
Mexican Am.,47,7.50%,2.9,23.40%,6.40%,221,14,8.9
Filipino,31,5.00%,2.91,32.30%,12.90%,214,13.6,8.3
Latino,12,1.90%,2.93,8.30%,25.00%,226,14.6,9.9
Native Am.,3,0.50%,3.23,33.30%,33.30%,195,12,6.5
Caucasian,118,18.80%,3.13,35.60%,22.00%,220,12.6,8.5
Other,133,21.20%,3.27,36.80%,36.80%,230,12.5,9
College,,,,,,,,
Revelle,132,21.10%,3.05,30.30%,22.00%,225,13.1,8.9
Muir,106,16.90%,3.13,41.50%,22.60%,228,13,8.6
Marshall,113,18.10%,3.06,31.90%,21.20%,220,13.5,8.4
Warren,100,16.00%,3.2,34.00%,31.00%,221,12.7,7.7
Roosevelt,77,12.30%,3.16,44.20%,23.40%,224,13,7.8
Sixth,98,15.70%,3.15,39.80%,25.50%,220,13,8.3
School Type,,,,,,,,
High School,413,66.00%,3.19,38.30%,29.10%,227,13.1,--
2yr College,207,33.10%,2.97,32.40%,13.50%,215,--,8.4
4yr College/Univ.,5,0.80%,3.39,40.00%,60.00%,231,--,--
Unknown,1,0.20%,2.56,0.00%,0.00%,327,--,--
First Generation College Status,,,,,,,,
First Generation,199,31.80%,3.02,36.70%,14.60%,223,13.5,8.8
Not First Generation,427,68.20%,3.17,36.10%,28.60%,223,12.8,8.2
Income,,,,,,,,
High: > $98401,160,25.60%,3.22,40.00%,31.90%,220,12.9,7.7
Medium High: $65601 - $98400,72,11.50%,3.13,36.10%,26.40%,225,12.8,8.5
Medium Low: $32801 - $65600,129,20.60%,3.06,34.90%,21.70%,227,13,8.5
Low: < $32800,136,21.70%,3,33.10%,14.00%,226,13.6,8.7
Missing/Undeclared,129,20.60%,3.16,36.40%,26.40%,220,12.8,8.7
Total Science/Math,626,100.00%,3.12,36.30%,24.10%,223,13.1,8.4
,,,,,,,,
Biology,,,,,,,,
Gender,,,,,,,,
Female,616,58.10%,3.2,39.30%,29.40%,222,13,8.9
Male,444,41.90%,3.24,39.60%,30.90%,220,13,8.8
Ethnicity,,,,,,,,
African Am.,22,2.10%,2.92,45.50%,4.50%,225,13.9,10.7
Asian,409,38.60%,3.15,44.30%,21.30%,223,13.2,8.5
Mexican Am.,69,6.50%,2.98,31.90%,11.60%,219,14,9
Filipino,35,3.30%,2.81,22.90%,5.70%,212,14.9,9.1
Latino,20,1.90%,3.12,25.00%,35.00%,237,15.2,10.7
Native Am.,1,0.10%,2.98,0.00%,0.00%,249,14,--
Caucasian,180,17.00%,3.17,45.00%,23.30%,213,12.9,9.2
Other,324,30.60%,3.45,34.30%,52.80%,224,12.4,8
College,,,,,,,,
Revelle,255,24.10%,3.2,38.00%,29.40%,223,13,8.9
Muir,188,17.70%,3.31,37.80%,39.40%,222,12.7,8.4
Marshall,180,17.00%,3.21,38.90%,29.40%,217,13.1,8.4
Warren,171,16.10%,3.21,34.50%,31.60%,223,12.9,9.2
Roosevelt,136,12.80%,3.19,46.30%,21.30%,222,13.6,9.2
Sixth,130,12.30%,3.18,44.60%,25.40%,218,13,9.2
School Type,,,,,,,,
High School,784,74.00%,3.25,40.70%,31.60%,224,13,--
2yr College,259,24.40%,3.14,35.90%,25.90%,212,--,8.8
4yr College/Univ.,17,1.60%,3.13,35.30%,17.60%,224,--,--
Unknown,0,0.00%,--,--,--,--,--,--
First Generation College Status,,,,,,,,
First Generation,334,31.50%,3.14,37.10%,25.10%,221,13.5,8.7
Not First Generation,726,68.50%,3.25,40.50%,32.20%,221,12.8,8.9
Income,,,,,,,,
High: > $98401,276,26.00%,3.3,38.00%,37.70%,222,12.6,8.8
Medium High: $65601 - $98400,105,9.90%,3.19,39.00%,25.70%,219,13.1,7.9
Medium Low: $32801 - $65600,208,19.60%,3.19,38.00%,28.40%,224,13.4,8.1
Low: < $32800,241,22.70%,3.1,41.50%,19.10%,221,13.6,9.1
Missing/Undeclared,230,21.70%,3.28,40.40%,35.70%,219,12.3,9.4
Total Biology,1060,100.00%,3.22,39.40%,30.00%,221,13,8.8
,,,,,,,,
Social Sciences,,,,,,,,
Gender,,,,,,,,
Female,1745,60.70%,3.17,41.10%,25.40%,205,12.7,7.2
Male,1128,39.30%,3.06,36.60%,18.90%,204,13.5,7.8
Ethnicity,,,,,,,,
African Am.,55,1.90%,3.15,43.60%,18.20%,209,13.4,7.9
Asian,1310,45.60%,3.07,38.70%,18.40%,204,13,7.1
Mexican Am.,333,11.60%,3.06,40.50%,15.60%,204,13.3,7.8
Filipino,104,3.60%,3.05,31.70%,15.40%,207,12.9,7.7
Latino,119,4.10%,3.04,37.00%,19.30%,203,13.2,7.6
Native Am.,15,0.50%,3.22,66.70%,13.30%,207,11.1,8
Caucasian,634,22.10%,3.27,41.20%,33.30%,203,12.6,7.6
Other,303,10.50%,3.23,38.60%,33.30%,210,12.7,8.1
College,,,,,,,,
Revelle,325,11.30%,3.03,34.20%,16.90%,214,13.4,7.8
Muir,522,18.20%,3.16,38.90%,26.10%,204,12.7,7.6
Marshall,624,21.70%,3.13,39.40%,23.90%,199,12.8,7.2
Warren,370,12.90%,3.09,37.30%,19.70%,205,12.9,7.5
Roosevelt,580,20.20%,3.16,41.60%,24.10%,205,13.1,7.6
Sixth,452,15.70%,3.15,42.50%,22.80%,205,12.8,7.5
School Type,,,,,,,,
High School,1568,54.60%,3.17,41.20%,24.70%,210,12.9,--
2yr College,1239,43.10%,3.08,36.50%,20.30%,198,--,7.5
4yr College/Univ.,62,2.20%,3.26,53.20%,29.00%,205,--,--
Unknown,4,0.10%,2.9,0.00%,0.00%,204,--,--
First Generation College Status,,,,,,,,
First Generation,1056,36.80%,3.06,37.90%,17.20%,203,13.3,7.3
Not First Generation,1817,63.20%,3.17,40.20%,26.10%,205,12.7,7.6
Income,,,,,,,,
High: > $98401,700,24.40%,3.19,42.60%,26.00%,202,12.5,6.9
Medium High: $65601 - $98400,285,9.90%,3.16,39.30%,25.30%,204,12.6,7.2
Medium Low: $32801 - $65600,537,18.70%,3.13,39.70%,22.70%,207,13,7.4
Low: < $32800,706,24.60%,3.05,38.10%,17.10%,206,13.3,7.7
Missing/Undeclared,645,22.50%,3.13,37.10%,24.70%,204,12.9,7.9
Total Social Sciences,2873,100.00%,3.13,39.40%,22.80%,205,12.9,7.5
